modelId,manufacturerId,modelYearFrom,modelYearTo,modelName,isPassengerCar,isCommercialVehicle,isMotorbike,isLcv,isDriverCab,IsAxle,IsEngine,isBus,isAftermarket,isTractor,isVirtualOEM
34328,138,9/1/1994,12/31/1999,SILVERADO Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
11146,138,9/1/1997,12/31/2007,SILVERADO 1500 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
36118,138,9/1/2007,12/31/2013,SILVERADO 1500 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
12927,138,9/1/2013,null,SILVERADO 1500 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
35044,138,9/1/1997,12/31/2007,SILVERADO 1500 Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
36116,138,9/1/2007,12/31/2013,SILVERADO 1500 Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
12924,138,9/1/2013,null,SILVERADO 1500 Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
11145,138,9/1/1997,12/31/2007,SILVERADO 1500 Extended Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
36117,138,9/1/2007,12/31/2013,SILVERADO 1500 Extended Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
12925,138,9/1/2013,null,SILVERADO 1500 Extended Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
30817,138,9/1/2000,12/31/2007,SILVERADO 1500 HD Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
11129,138,9/1/1998,null,SILVERADO 2500,1,0,0,0,0,0,0,0,0,1,1
10908,138,9/1/2006,null,SILVERADO 2500,1,0,0,0,0,0,0,0,0,1,0
12948,138,9/1/1998,12/31/2007,SILVERADO 2500 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
10632,138,9/1/2006,12/31/2013,SILVERADO 2500 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
13096,138,9/1/2012,null,SILVERADO 2500 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
11570,138,9/1/1998,9/30/2007,SILVERADO 2500 Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
36119,138,9/1/2006,12/31/2013,SILVERADO 2500 Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
13097,138,9/1/2012,null,SILVERADO 2500 Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
35045,138,9/1/1998,12/31/2007,SILVERADO 2500 Extended Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
36120,138,9/1/2006,12/31/2013,SILVERADO 2500 Extended Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
13098,138,9/1/2012,null,SILVERADO 2500 Extended Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
30818,138,9/1/1998,12/31/2005,SILVERADO 2500 Cab & Chassis,1,0,0,0,0,0,0,0,0,1,0
36121,138,9/1/2006,null,SILVERADO 2500 Cab & Chassis,1,0,0,0,0,0,0,0,0,1,0
11130,138,11/1/2000,12/31/2007,SILVERADO 2500 HD,1,0,0,0,0,0,0,0,0,1,0
10909,138,9/1/2006,null,SILVERADO 2500 HD,1,0,0,0,0,0,0,0,0,1,1
11575,138,9/1/2000,12/31/2007,SILVERADO 2500 HD Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
34841,138,9/1/2006,12/31/2013,SILVERADO 2500 HD Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
12934,138,9/1/2013,null,SILVERADO 2500 HD Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
35046,138,9/1/2000,12/31/2007,SILVERADO 2500 HD Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
10634,138,9/1/2006,12/31/2013,SILVERADO 2500 HD Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
12940,138,9/1/2013,null,SILVERADO 2500 HD Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
13785,138,9/1/2000,12/31/2007,SILVERADO 2500 HD Extended Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
12797,138,9/1/2006,12/31/2013,SILVERADO 2500 HD Extended Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
12941,138,9/1/2013,null,SILVERADO 2500 HD Extended Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
13786,138,9/1/2000,12/31/2007,SILVERADO 2500 HD Cab & Chassis,1,0,0,0,0,0,0,0,0,1,0
12798,138,9/1/2006,12/31/2013,SILVERADO 2500 HD Cab & Chassis,1,0,0,0,0,0,0,0,0,1,0
11323,138,1/1/2001,12/31/2007,SILVERADO 3500,1,0,0,0,0,0,0,0,0,1,0
11324,138,1/1/2007,12/31/2013,SILVERADO 3500,1,0,0,0,0,0,0,0,0,1,0
13787,138,9/1/1998,12/31/2007,SILVERADO 3500 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
36123,138,9/1/2007,12/31/2013,SILVERADO 3500 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
35047,138,9/1/2000,12/31/2007,SILVERADO 3500 Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
13788,138,9/1/1998,12/31/2007,SILVERADO 3500 Extended Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
30826,138,9/1/2000,12/31/2007,SILVERADO 3500 Cab & Chassis,1,0,0,0,0,0,0,0,0,1,0
10636,138,9/1/2006,12/31/2013,SILVERADO 3500 Cab & Chassis,1,0,0,0,0,0,0,0,0,1,0
13099,138,9/1/2012,null,SILVERADO 3500 Cab & Chassis,1,0,0,0,0,0,0,0,0,1,0
36931,138,9/1/1998,12/31/2007,SILVERADO 3500 HD Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
12799,138,9/1/2007,12/31/2013,SILVERADO 3500 HD Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
12943,138,9/1/2013,null,SILVERADO 3500 HD Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
36932,138,9/1/1998,12/31/2007,SILVERADO 3500 HD Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
36128,138,9/1/2007,12/31/2013,SILVERADO 3500 HD Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
12944,138,9/1/2013,null,SILVERADO 3500 HD Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
36933,138,9/1/1998,12/31/2007,SILVERADO 3500 HD Extended Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
